DATE,LAT,LON,SST
2016-12-25T02:05:09.000Z,6.02,99.98,-32767
2016-12-26T02:35:09.000Z,6.02,99.98,-32767
2016-12-27T03:00:09.000Z,6.02,99.98,-32767
2016-12-28T02:25:09.000Z,6.02,99.98,-32767
2016-12-29T03:00:09.000Z,6.02,99.98,-32767
2016-12-30T02:15:08.000Z,6.02,99.98,-32767
2016-12-31T02:50:09.000Z,6.02,99.98,-32767
2017-01-01T02:10:09.000Z,6.02,99.98,-32767
2017-01-02T02:40:09.000Z,6.02,99.98,-32767
2017-01-03T02:05:10.000Z,6.02,99.98,-32767
2017-01-04T02:30:10.000Z,6.02,99.98,-32767
2017-01-05T03:00:10.000Z,6.02,99.98,-32767
2017-01-06T02:20:10.000Z,6.02,99.98,-32767
2017-01-07T02:55:10.000Z,6.02,99.98,-32767
2017-01-08T02:10:09.000Z,6.02,99.98,-32767
2017-01-09T02:45:09.000Z,6.02,99.98,-32767
2017-01-10T02:05:09.000Z,6.02,99.98,-32767
2017-01-11T02:35:09.000Z,6.02,99.98,-32767
2017-01-12T03:00:09.000Z,6.02,99.98,-32767
2017-01-13T02:25:09.000Z,6.02,99.98,29.86
2017-01-14T03:00:09.000Z,6.02,99.98,-32767
2017-01-15T02:15:09.000Z,6.02,99.98,30.5
2017-01-16T02:50:09.000Z,6.02,99.98,30.49
2017-01-17T02:10:10.000Z,6.02,99.98,-32767
2017-01-18T02:40:10.000Z,6.02,99.98,-32767
2017-01-19T02:05:10.000Z,6.02,99.98,-32767
2017-01-20T02:30:10.000Z,6.02,99.98,-32767
2017-01-21T03:00:10.000Z,6.02,99.98,-32767
2017-01-22T02:20:09.000Z,6.02,99.98,-32767
2017-01-23T02:55:08.000Z,6.02,99.98,-32767
2017-01-24T02:10:09.000Z,6.02,99.98,-32767
2017-01-25T02:45:09.000Z,6.02,99.98,-32767
2017-01-26T02:05:09.000Z,6.02,99.98,-32767
2017-01-27T02:35:09.000Z,6.02,99.98,29.82
2017-01-28T03:00:09.000Z,6.02,99.98,-32767
2017-01-29T02:25:09.000Z,6.02,99.98,-32767
2017-01-30T03:00:09.000Z,6.02,99.98,29.8
2017-01-31T02:15:10.000Z,6.02,99.98,-32767
2017-02-01T02:50:09.000Z,6.02,99.98,-32767
2017-02-02T02:10:10.000Z,6.02,99.98,29.38
2017-02-03T02:40:10.000Z,6.02,99.98,-32767
2017-02-04T02:10:10.000Z,6.02,99.98,-32767
2017-02-05T02:30:09.000Z,6.02,99.98,30.03
2017-02-06T03:00:10.000Z,6.02,99.98,-32767
2017-02-07T02:20:09.000Z,6.02,99.98,-32767
2017-02-08T02:55:09.000Z,6.02,99.98,29.49
2017-02-09T02:10:09.000Z,6.02,99.98,-32767
2017-02-10T02:45:09.000Z,6.02,99.98,30.3
2017-02-11T02:15:09.000Z,6.02,99.98,-32767
2017-02-12T02:35:09.000Z,6.02,99.98,-32767
2017-02-13T03:00:09.000Z,6.02,99.98,29
2017-02-14T02:25:10.000Z,6.02,99.98,29.05
2017-02-15T03:00:09.000Z,6.02,99.98,-32767
2017-02-16T02:15:10.000Z,6.02,99.98,28.74
2017-02-17T02:50:10.000Z,6.02,99.98,29.41
2017-02-18T02:20:10.000Z,6.02,99.98,29.85
2017-02-19T02:40:10.000Z,6.02,99.98,-32767
2017-02-20T02:10:10.000Z,6.02,99.98,-32767
2017-02-21T02:30:09.000Z,6.02,99.98,-32767
