DATE,LAT,LON,CHLOR
2016-04-15T02:59:59.000Z,6.02,99.98,-32767
2016-04-15T02:59:59.000Z,6.02,99.98,-32375.23918
2016-04-16T02:49:59.000Z,6.02,99.98,-32767
2016-04-16T02:49:59.000Z,6.02,99.98,-32389.65173
2016-04-17T02:59:59.000Z,6.02,99.98,0.57
2016-04-17T02:59:59.000Z,6.02,99.98,-32404.06428
2016-04-18T02:39:59.000Z,6.02,99.98,-32767
2016-04-18T02:39:59.000Z,6.02,99.98,-32418.47683
2016-04-19T02:50:00.000Z,6.02,99.98,-32767
2016-04-19T02:50:00.000Z,6.02,99.98,-32432.88938
2016-04-20T02:25:00.000Z,6.02,99.98,-32767
2016-04-20T02:25:00.000Z,6.02,99.98,-32447.30193
2016-04-21T02:40:00.000Z,6.02,99.98,0.57
2016-04-21T02:40:00.000Z,6.02,99.98,-32461.71448
2016-04-22T02:15:00.000Z,6.02,99.98,-32767
2016-04-22T02:15:00.000Z,6.02,99.98,-32476.12703
2016-04-23T02:59:59.000Z,6.02,99.98,-32767
2016-04-23T02:59:59.000Z,6.02,99.98,-32490.53958
2016-04-24T02:59:59.000Z,6.02,99.98,-32767
2016-04-24T02:59:59.000Z,6.02,99.98,-32504.95214
2016-04-25T02:45:00.000Z,6.02,99.98,-32767
2016-04-25T02:45:00.000Z,6.02,99.98,-32519.36469
2016-04-26T02:54:59.000Z,6.02,99.98,-32767
2016-04-26T02:54:59.000Z,6.02,99.98,-32533.77724
2016-04-27T02:34:59.000Z,6.02,99.98,-32767
2016-04-27T02:34:59.000Z,6.02,99.98,-32548.18979
2016-04-28T02:44:59.000Z,6.02,99.98,0.54
2016-04-28T02:44:59.000Z,6.02,99.98,-32562.60234
2016-04-29T02:19:59.000Z,6.02,99.98,-32767
2016-04-29T02:19:59.000Z,6.02,99.98,-32577.01489
2016-04-30T02:59:59.000Z,6.02,99.98,-32767
2016-04-30T02:59:59.000Z,6.02,99.98,-32591.42744
2016-05-01T02:09:59.000Z,6.02,99.98,-32767
2016-05-01T02:09:59.000Z,6.02,99.98,-32605.83999
2016-05-02T02:49:59.000Z,6.02,99.98,-32767
2016-05-02T02:49:59.000Z,6.02,99.98,-32620.25254
2016-05-03T02:59:59.000Z,6.02,99.98,-32767
2016-05-03T02:59:59.000Z,6.02,99.98,-32634.66509
2016-05-04T02:39:59.000Z,6.02,99.98,-32767
2016-05-04T02:39:59.000Z,6.02,99.98,-32649.07764
2016-05-05T02:50:00.000Z,6.02,99.98,-32767
2016-05-05T02:50:00.000Z,6.02,99.98,-32663.49019
2016-05-06T02:25:00.000Z,6.02,99.98,-32767
2016-05-06T02:25:00.000Z,6.02,99.98,-32677.90274
2016-05-07T02:40:00.000Z,6.02,99.98,-32767
2016-05-07T02:40:00.000Z,6.02,99.98,-32692.31529
2016-05-08T02:15:00.000Z,6.02,99.98,-32767
2016-05-08T02:15:00.000Z,6.02,99.98,-32706.72784
2016-05-09T02:59:59.000Z,6.02,99.98,-32767
2016-05-09T02:59:59.000Z,6.02,99.98,-32721.1404
2016-05-10T02:59:59.000Z,6.02,99.98,-32767
2016-05-10T02:59:59.000Z,6.02,99.98,-32735.55295
2016-05-11T02:45:00.000Z,6.02,99.98,0.29
2016-05-11T02:45:00.000Z,6.02,99.98,-32749.9655
